id,timestamp,test,file_size,download_mbps,upload_mbps,latency_ms,loaded_latency_ms,jitter_ms,server,status,error_msg
139,2026-06-08T23:50:55.734841+00:00,cdn_ovh,small,69.8,,,,,OVH,ok,
140,2026-06-08T23:50:55.747514+00:00,cdn_ovh,medium,281.67,,,,,OVH,ok,
141,2026-06-08T23:50:55.759460+00:00,cdn_ovh,large,263.23,,,,,OVH,ok,
142,2026-06-08T23:50:55.786745+00:00,cdn_vultr,small,400.25,,,,,Vultr,ok,
143,2026-06-08T23:50:55.798746+00:00,cdn_vultr,medium,396.55,,,,,Vultr,ok,
144,2026-06-08T23:50:55.810647+00:00,cdn_vultr,large,401.43,,,,,Vultr,ok,
145,2026-06-09T00:06:48.460825+00:00,cloudflare_full,small,74.54,59.27,82.12,,5.76,Cloudflare,ok,
146,2026-06-09T00:06:48.473685+00:00,cloudflare_full,medium,,97.22,82.12,82.75,5.76,Cloudflare,ok,
147,2026-06-09T00:06:48.485272+00:00,cloudflare_full,large,,94.81,82.12,,5.76,Cloudflare,ok,
148,2026-06-09T00:06:48.497468+00:00,cdn_hetzner,small,371.13,,,,,Hetzner,ok,
149,2026-06-09T00:06:48.509389+00:00,cdn_hetzner,medium,386.63,,,,,Hetzner,ok,
150,2026-06-09T00:06:48.521589+00:00,cdn_hetzner,large,379.25,,,,,Hetzner,ok,
151,2026-06-09T00:06:48.533189+00:00,cdn_ovh,small,64.01,,,,,OVH,ok,
152,2026-06-09T00:06:48.545451+00:00,cdn_ovh,medium,283.55,,,,,OVH,ok,
153,2026-06-09T00:06:48.557449+00:00,cdn_ovh,large,362.9,,,,,OVH,ok,
154,2026-06-09T00:06:48.569728+00:00,cdn_vultr,small,400.77,,,,,Vultr,ok,
155,2026-06-09T00:06:48.581402+00:00,cdn_vultr,medium,404.22,,,,,Vultr,ok,
156,2026-06-09T00:06:48.593754+00:00,cdn_vultr,large,403.41,,,,,Vultr,ok,
157,2026-06-09T00:11:47.914129+00:00,cloudflare_full,small,79.88,57.22,79.73,,3.81,Cloudflare,ok,
158,2026-06-09T00:11:47.940208+00:00,cloudflare_full,medium,,97.01,79.73,82.67,3.81,Cloudflare,ok,
159,2026-06-09T00:11:47.952436+00:00,cloudflare_full,large,,99,79.73,,3.81,Cloudflare,ok,
160,2026-06-09T00:11:47.964491+00:00,cdn_hetzner,small,380.63,,,,,Hetzner,ok,
161,2026-06-09T00:11:47.976270+00:00,cdn_hetzner,medium,381.08,,,,,Hetzner,ok,
162,2026-06-09T00:11:47.988305+00:00,cdn_hetzner,large,386.76,,,,,Hetzner,ok,
163,2026-06-09T00:11:48.011742+00:00,cdn_ovh,small,71.65,,,,,OVH,ok,
164,2026-06-09T00:11:48.023758+00:00,cdn_ovh,medium,281.77,,,,,OVH,ok,
165,2026-06-09T00:11:48.035436+00:00,cdn_ovh,large,157.71,,,,,OVH,ok,
166,2026-06-09T00:11:48.047451+00:00,cdn_vultr,small,402.76,,,,,Vultr,ok,
167,2026-06-09T00:11:48.059614+00:00,cdn_vultr,medium,393.14,,,,,Vultr,ok,
168,2026-06-09T00:11:48.071357+00:00,cdn_vultr,large,403.79,,,,,Vultr,ok,
169,2026-06-09T00:26:54.451254+00:00,cloudflare_full,small,70.61,59.63,82.9,,6.56,Cloudflare,ok,
170,2026-06-09T00:26:54.464685+00:00,cloudflare_full,medium,280.25,96.39,82.9,80.42,6.56,Cloudflare,ok,
171,2026-06-09T00:26:54.476584+00:00,cloudflare_full,large,329.7,99.96,82.9,,6.56,Cloudflare,ok,
172,2026-06-09T00:26:54.489228+00:00,cdn_hetzner,small,380.89,,,,,Hetzner,ok,
173,2026-06-09T00:26:54.501342+00:00,cdn_hetzner,medium,378.33,,,,,Hetzner,ok,
174,2026-06-09T00:26:54.513922+00:00,cdn_hetzner,large,384.1,,,,,Hetzner,ok,
175,2026-06-09T00:26:54.525711+00:00,cdn_ovh,small,63.32,,,,,OVH,ok,
176,2026-06-09T00:26:54.538407+00:00,cdn_ovh,medium,281.28,,,,,OVH,ok,
